KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_iasu6,Спасибо. Для меня это много значит.,,,,,,,,,,,,,,,,
dialogue_uamGm,"@q0 Итак, вы, должно быть, храбрый герой, которому мы обязаны всеми новыми данными о Талоне, Цираксе и Наследии...",,,,,,,,,,,,,,,,
dialogue_8uSOK,"О, какой теплый прием... <i> (Дополнительная информация)</i>",,,,,,,,,,,,,,,,
dialogue_WKSuG,Эммерсон,,,,,,,,,,,,,,,,
dialogue_Cq4aQ,"@q0 Прошу прощения за отсутствие настоящего волнения, но я только что закончил 48-часовую смену и был на пути ко сну, когда Мерсер сказал, что вы хотите поговорить со мной перед любым новым заданием, которое он может получить для вас.",,,,,,,,,,,,,,,,
dialogue_amKKO,Новое задание?,,,,,,,,,,,,,,,,
dialogue_u0SKM,"@q0 Он тебе не сказал? Конечно. Должно быть какая-то семейная болезнь Мерсера, чтобы не сказать тем, кто рискует своей жизнью, все, что им нужно знать. Так же, как и его отец, который привел нас в этот беспорядок...",,,,,,,,,,,,,,,,
dialogue_SWa4q,Ах..?,,,,,,,,,,,,,,,,
dialogue_q084W,"@q0Yep. Ты не знал? Ламарр сказала мне, что Мерсер Старший сделал несколько таинственных намеков, когда она говорила с ним перед бедой на станции Аполлон. Она ему совсем не доверяла. И она была абсолютно права. Она буквально ударила его по лицу за всю эту чушь, которую он натворил. Это уже мем. Это не очень помогло нам, но это то, что она должна объяснить вам лично. Итак, что ты хочешь знать?",,,,,,,,,,,,,,,,
dialogue_SmSCq,Какие-нибудь новые подсказки из полученной мной информации? <i>(Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_OYmmm,"@q0 Талоны — беженцы из галактики Треугольника, спасающиеся от неизвестной угрозы под названием «цвет = #ffffff». Наследие</color>. Когда-то они заключили союз с Цираксом, «цветом = #ffffff». Talon-Zirax Assembly</color>. Тем не менее, «Наследие» преследовало их до Андромеды, что привело к «цвету». «Война молчания» (англ. War of Silence). Наследие было побеждено, но его присутствие, похоже, снова растет. Это существо/интеллект способно заражать, контролировать и преобразовывать биологические существа и машины. Илмаринен был захвачен, когда экипаж неосознанно привез на борт зараженного астероида Пентаксид. Талоны, которые были почти уничтожены Зираксом в конце войны по причинам, до сих пор неизвестным, обладают передовыми способностями, но они хранят свои знания в тайне даже в своих собственных племенах, что вызывает подозрения. Кажется, они чего-то ждут.",,,,,,,,,,,,,,,,
dialogue_09iCi,Что-нибудь еще?,,,,,,,,,,,,,,,,
dialogue_4uaqS,"@q0Yes. Может быть, одно слово о странной палке, которую вы нашли: Вы, вероятно, должны держать этот персонал руководства либо на вас все время или в безопасном, но легкодоступном месте. @w4 Я боюсь, что мы не знаем, что это устройство на самом деле или будет делать. Я спросил одного из наших контактов с Талоном, но он внезапно исчез и никогда не отчитывался. @w4\n\n Просто интуитивное чувство, но вы должны быть готовы, когда вам это нужно.",,,,,,,,,,,,,,,,
dialogue_CuGY4,"Спасибо, Эммерсон. Следующий напиток на мне.",,,,,,,,,,,,,,,,
dialogue_04CBe,Мерсер Джуниор,,,,,,,,,,,,,,,,
dialogue_4KWKJ,"@q0 Командир, боюсь, мне нужно попросить вашей немедленной помощи.",,,,,,,,,,,,,,,,
dialogue_Oquqm,Эммерсон кое-что указал...,,,,,,,,,,,,,,,,
dialogue_08K88,"@q0 Мы потеряли контакт с одним из наших агентов в соседнем <color=#fbff00> Станция Sigma Fulcrum</color> @w2 Это происходит время от времени, но этот конкретный агент не только собирался получить некоторые ценные данные из пещер астероида, в который встроена станция, но ... скажем, он не наш обычный агент, и я боюсь, что его амбиции превзошли его талант.",,,,,,,,,,,,,,,,
dialogue_44iS4,Звучит драматично,,,,,,,,,,,,,,,,
dialogue_GaaOa,"@q0 Надеюсь, что нет, но если с ним что-то случится, я никогда не прощу себя. @w4 Его зовут Ярод.",,,,,,,,,,,,,,,,
dialogue_Gqa7C,"Хорошо, я слушаю. <i>(Дополнительная информация)</i>",,,,,,,,,,,,,,,,
dialogue_8e9au,"@q0 Первым делом: Ярод - ученый, который руководил лабораторией экзотических материалов, когда станция все еще находилась под контролем Polaris. У него были некоторые разногласия с руководством станции, что, как говорят, привело к тому, что станция была заброшена, а затем захвачена пиратами. Роль станции так и не была полностью раскрыта, и, что более удивительно, Polaris даже не предприняли никаких попыток восстановить контроль. Это было около 10 лет назад. @p9 На сегодняшний день станция известна как <color=#ffffff> Sigma Fulcrum</color>. Он управляется гражданским управлением и, как сообщается, используется салурианским пиратским кланом в качестве основной базы операций. Салурианцы — не заурядные пираты. На самом деле это высокотехнологичные хакеры, фальшивомонетчики, угонщики, торговцы людьми, контрабандисты и фальсификаторы. Они успешно работают в большинстве секторов, в которых они работают. @p9 В последние несколько месяцев станция также стала источником нового препарата: <color=#ffffff>Trilinithane</color>. Мы бы приняли Трил, как они это называют, просто как еще один препарат. n\n Но потом, Ярод вступил в игру. @p9 Он связался с одним из наших местных агентов, сказав, что препарат содержит вещества, которые нельзя найти в этой части галактики. Может, даже не в Андромеде. Это заинтересовало нас. Поскольку местный агент был убит в результате несчастного случая, Ярод вызвался узнать больше. Он сказал, что источник находится где-то <color=#ffffff> на уровне машинного зала </color> астероида - в основном живот <color=#ffffff> Sigma Fulcrum</color>. @p9 Незадолго до вашего приезда мы получили экстренное сообщение от станции, призывающее о помощи, и оно было подписано Яродом. @w2 \n Крайне важно, чтобы <color=#fbff00> убрал его оттуда</color> и вместе с любой информацией, которую вы можете найти.",,,,,,,,,,,,,,,,
dialogue_AOeuW,Каковы параметры миссии?,,,,,,,,,,,,,,,,
dialogue_eGKIi,Ярод,,,,,,,,,,,,,,,,
dialogue_8Oi4u,"@q0 Рад, что ты здесь! <color=#ffffff>Салурианский</color> преследует меня. n\n Станция ИИ тоже пытается найти и убить меня. Нам нужно сделать то, что нужно сделать, а затем быстро выбраться отсюда.",,,,,,,,,,,,,,,,
dialogue_WKekK,Подожди. Ты киборг? Мы подумали...<i> (Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_8WqG2,"@q0 Это только половина правды - я был искусственным интеллектом станции, но мне удалось пролететь через этот киборг, прежде чем заразиться инфекцией VOID.",,,,,,,,,,,,,,,,
dialogue_0urqV,"Подожди, что?",,,,,,,,,,,,,,,,
dialogue_SCOOK,"@q0 Я не уверен, что у нас есть время для долгих объяснений, но GLaD всегда может послать новых агентов, я думаю? @p9 Десять лет назад научная группа Zirax обнаружила технический артефакт в отдаленном месте раскопок на краю их территории. «Салурианский» клан, похоже, сразу же украл и продал его Polaris, или, по крайней мере, это то, что менеджер компании напечатал в журнале. Компания привезла артефакт на эту станцию для исследования в лаборатории экзотических материалов <color=#ffffff>. Он был помещен под чрезвычайно жесткие протоколы сдерживания, но этого было недостаточно. Я следовал протоколу, чтобы предупредить компанию, но они не хотели слушать. @w4 Протоколы прибыли всегда имеют приоритет. @p9 Короче говоря, артефакт начал агрессивно захватывать вторичные и третичные системы, чтобы отрезать мое ядро ИИ и повернуть внутреннюю защиту станции против экипажа. Я ничего не мог сделать, кроме как посмотреть. Компания потеряла в эвакуации два эсминца. @p9 Храбрый ученый по имени Ярод Халден загрузил мои программы киборгу для эвакуации и оценки, но он не выжил, и я остался позади. Ядро станции бомбардировали ЭМИ, но я выжил, потому что он закрыл меня до начала атаки. @p9 Насколько я могу судить, через пять лет после этого инцидента меня снова активировал смотритель, ищущий помощника киборга. Станция была реактивирована и официально управлялась гражданским управлением, в то время как реальная власть принадлежала салурианцам, которые использовали станцию в качестве базы для своих преступных усилий. @p9 Несколько месяцев назад инженерные киборги станции вдруг начали строить новые машины. Я заметил, что некоторые салурианцы были обеспокоены. Они рассказали об артефакте, найденном в пещерах, который позволил им создать новый препарат, который оказал интересное влияние на их потребителей; сила, выносливость, скорость, пространственная осведомленность увеличились. Сильная зависимость. @p9 Я начал расследовать, что произошло. Похоже, артефакт, о котором они говорили, является - или был - фрагментом более крупного объекта, найденного десять лет назад археологами Зиракса. Они назвали его «Суть VOID» и только недавно я обнаружил, что салурианец не намеревался создавать препарат — сама станция начала его производить вскоре после того, как салурианец экспериментировал с фрагментом. Прошлые события вот-вот повторятся. Но на этот раз у нас есть шанс остановить его, прежде чем он убьет всех гражданских лиц на борту.",,,,,,,,,,,,,,,,
dialogue_CRm0C,"Не похоже, что это простой план.",,,,,,,,,,,,,,,,
dialogue_iG8eK,"@q0 Вот так! @w4 Нам просто нужно <color=#ffffff> загрузить мои AI-программы</color> на станцию, чтобы я мог перезаписать корневые команды. Затем нужно перегрузить зараженные процессоры, чтобы <color=#ffffff> сбросить станцию AI</color>. И поскольку станция знает, кто я, мы должны дать ей доказательство, что я больше не опасен. Это одна из причин, почему я попросил помощи у GLaD; если бы я выпустил самоуничтожение, станция не купила бы это. @p9 Я проверил ваш костюм и удивительно, что он должен быть способен нести меня без повреждений или модификаций, как будто предназначен для цели. @w5 Ладно, нет времени болтать. <color=#ffff00> Уничтожьте мой временный корпус сейчас. Ваш ИИ уже интегрировал мою резервную копию. Затем подведите нас как можно ближе к одной из точек доступа <color=#ffff00>, и я возьму ее оттуда. Готовы?",,,,,,,,,,,,,,,,
dialogue_k4aGK,Поехали!,,,,,,,,,,,,,,,,
dialogue_m408O,Ярод,,,,,,,,,,,,,,,,
dialogue_eabKq,"@q0Инъекция завершена! Получение данных. @w4 Oh.. О, одну секунду. Составление информации.",,,,,,,,,,,,,,,,
dialogue_u8mwq,Ярод?,,,,,,,,,,,,,,,,
dialogue_KuKaS,"@q0Ok, это хуже, чем я ожидал. Мы должны остановить станцию как можно скорее, иначе эта часть галактики будет потеряна через несколько дней.",,,,,,,,,,,,,,,,
dialogue_u87q4,"Подробности, пожалуйста, Ярод! <i> (Дополнительная информация)</i>",,,,,,,,,,,,,,,,
dialogue_K0SW8,"Как я уже сказал команде GLaD, станция производит жидкость неизвестных свойств. Я нашел несколько образцов этого материала, когда исследовал, что здесь делают салурианцы. Этот материал не существует ни в одном мире этой части галактики. Ни Зиракс, ни Криэль, ни какая-либо другая фракция этим не пользуются. Характер его производства указывает на то, что это очень продвинутая наножидкость, обогащенная наноботами квантового уровня. Сомневаюсь, что какая-либо из известных цивилизаций смогла бы его произвести...",,,,,,,,,,,,,,,,
dialogue_mmemm,Хотя... что?,,,,,,,,,,,,,,,,
dialogue_uK4eW,"Ярод, пожалуйста!",,,,,,,,,,,,,,,,
dialogue_gMaCS,"@q0 Ходят слухи о расе машин, называемой TESCH. Говорят, что они находятся где-то в центре галактики. И все же их никогда не видели в этом секторе галактики, и ни одна из известных фракций, похоже, не имела никакого контакта в течение сотен лет. Возможно, обман. Такая развитая цивилизация не соскользнула бы с радаров, если бы это не было их абсолютным намерением. @p9 Хм. Когда мы выживем, мы должны попытаться убедить команду GLaD отправить экспедиционные силы на место раскопок, где был найден фрагмент «Сущность Пустоты». Координаты удалось закрепить хотя бы. @p9 Но пока - программы удаления, которые я ввел в удаленные процессоры, не обнаружены. Похоже, что на этот раз другая часть артефакта заразила ИИ. Они менее агрессивны и менее хорошо защищены. Возможно, это был командный центр производства. В любом случае. Давайте сохраним сектор для всех вас, биологических существ, хорошо?",,,,,,,,,,,,,,,,
dialogue_aWOW0,"Итак, каков план?",,,,,,,,,,,,,,,,
dialogue_aSaiO,Ярод,,,,,,,,,,,,,,,,
dialogue_C0eSe,"@q0 Командир, прежде чем вы раскроете мое существование Гладго, могу я попросить вас не делать этого и держать это в секрете?",,,,,,,,,,,,,,,,
dialogue_CSSYe,"Ты много спрашиваешь, мой друг.",,,,,,,,,,,,,,,,
dialogue_aCqGu,"@q0 Я знаю, но МАР поделилась, что у вас обоих есть опасения по поводу GLaD-проблем, которые мы разделяем. После всего, что со мной произошло, вы можете понять, что я не уверен, что хочу раскрыть себя какой-либо организации в настоящее время. n\n Что думаешь?",,,,,,,,,,,,,,,,
dialogue_mCWCe,"Конечно. Я найду оправдание, почему ты не со мной.",,,,,,,,,,,,,,,,
dialogue_SquaA,"@q0 Спасибо, коммандер. Теперь я отправлю данные на станцию и перейду в режим спячки. \n@w2 IDA предложила мне зашифрованную защищенную область в ее основном расширении. Я просто поражен ее способностями! @w2 Это защитит меня от случайного обнаружения. Я буду в спячке, но я все еще могу помочь тебе, если понадоблюсь. В случае необходимости IDA активирует меня.",,,,,,,,,,,,,,,,
dialogue_CDuGu,"Кажется, она полна сюрпризов.",,,,,,,,,,,,,,,,
dialogue_SWCaA,Надеюсь это сработает. Уходим.,,,,,,,,,,,,,,,,
dialogue_emi4C,"@q0 Самый простой способ сброса станции ИИ — убедить ее в необходимости технического обслуживания. Используйте различные консоли <color=#00ffff>station и прочитайте, что говорит искусственный интеллект станции. Я ввел несколько фрагментов кода, поэтому следите за следующими ключевыми словами в сообщениях: <color=#ffff00> Дата активации </color>, <color=#ffff00>Ошибки несовместимости</color> и <color=#ffff00>Ссылки на Polaris. </color> Это может занять несколько попыток, поэтому <color=#ffff00> используйте кнопку обновления </color> доски объявлений консоли станции, пока мы не увидим сообщения.",,,,,,,,,,,,,,,,
dialogue_SeW88,Коммандер Мерсер младший.,,,,,,,,,,,,,,,,
dialogue_qGumG,"@q0 Молодец, командир! Мы получили данные и анализируем их, чтобы спланировать наши дальнейшие шаги. n\n Это может занять некоторое время. Ярод в порядке?",,,,,,,,,,,,,,,,
dialogue_qE4uW,Я доставил его на станцию Поларис по его просьбе.,,,,,,,,,,,,,,,,
dialogue_Weu8O,"@q0Ah, да. Это прекрасно. Мы все равно не могли просить у него больше. n\n Это был экстремальный риск. n\n Слава Богу, все прошло хорошо.",,,,,,,,,,,,,,,,
dialogue_uSSie,Он был рад помочь.,,,,,,,,,,,,,,,,
dialogue_a0Sm8,"@q0 Просто заметил, что ты уже на базе! Хорошо. Пожалуйста, встретьте меня в <color=#ffffff> Командный центр </color> n\n Боюсь, у меня плохие новости, о которых нам нужно поговорить.",,,,,,,,,,,,,,,,
dialogue_aCWdu,Звучит не очень хорошо. Я буду там через минуту.,,,,,,,,,,,,,,,,
dialogue_SmSuu,Ярод,,,,,,,,,,,,,,,,
dialogue_KWO8C,"Командующий, IDA и я попытались оценить данные, которые мы получили из <color=#ffffff>Sigma Fulcrum</color>, чтобы определить, откуда исходный артефакт VOID. Возможно, мы нашли след от места раскопок <color=#ffffff></color> всего в нескольких солнечных системах.",,,,,,,,,,,,,,,,
dialogue_K4mSm,Это может осложнить ситуацию. <i>(Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_e4W8a,"Да. Я очень боюсь. Нам нужно найти способ проникнуть в этот район, найти место раскопок и внимательно изучить любой артефакт или фрагмент, который мы находим там. Это может позволить нам найти лучшее решение, чтобы положить конец угрозе, создаваемой этой Сущностью VOID; опасность, которую она представляет для любого цифрового существа и живых биологических организмов от препарата, полученного из него, не следует недооценивать. Галактика большая, и Салуриан и другие воссоздают ситуацию на Sigma Fulcrum снова и снова. Я не могу этого допустить.",,,,,,,,,,,,,,,,
dialogue_aeaO0,"Вы не похожи на типичный ИИ, когда говорите это.",,,,,,,,,,,,,,,,
dialogue_Cg8jG,"IDA тоже об этом упомянула. Возможно, артефакт VOID, с которым я связался, оказал большее влияние на мою личность, чем я думал. Надеюсь, ты об этом не беспокоишься?",,,,,,,,,,,,,,,,
dialogue_GeKQq,"Нет, я привыкла к этому.",,,,,,,,,,,,,,,,
dialogue_KuQKu,"IDA только что прислала мне записку о вашем последнем ответе с чем-то, чего я не понимаю.",,,,,,,,,,,,,,,,
dialogue_4au8S,<i> (смеется)</i>,,,,,,,,,,,,,,,,
dialogue_ijCCi,Командир Мерсер,,,,,,,,,,,,,,,,
dialogue_na84u,"Командир, у нас могут быть серьезные проблемы с одной из миссий нашей команды. @w3 Вы помните, что миссия <color=#ffffff> Командир Ламарр в настоящее время отсутствует? Это была довольно деликатная миссия, поэтому не слышать от нее больше, чем ожидалось, не о чем беспокоиться. Они все еще в запланированные сроки. @w2\n\n Но я думаю, что они могли быть захвачены Зираксом.",,,,,,,,,,,,,,,,
dialogue_Om0Oe,Почему ты так думаешь?,,,,,,,,,,,,,,,,
dialogue_OmqCe,"Мы получили сообщение от неизвестного источника, в котором содержится аудиообразец с четко идентифицируемыми голосами командира Ламарра и капитана Зерогена. Это похоже на образец, сделанный во время допроса <color=#ffffff></color>. Другие голоса явно <color=#ffffff>Zirax</color>. Аналитики говорят, что их могут держать в плену в <color=#ffffff> Гист-объект</color>.., что делает его крайне важным, мы стараемся все, чтобы освободить их. n\n В противном случае я боюсь худшего... @p9 Есть одна проблема, хотя. В настоящее время у нас нет агентов в этой солнечной системе, и наши данные не указывают на активность Ghyst в этом секторе. Это <color=#ffffff> вполне может быть ловушкой </color>. Боюсь, у нас нет другого выбора. Я думаю, что вы, возможно, захотите взять это на себя.",,,,,,,,,,,,,,,,
dialogue_mOque,Я в основном уже вне двери.,,,,,,,,,,,,,,,,
dialogue_K8Yat,"Я так и думал. Полет к астероидному полю <color=#fbff00>Unrir AF1</color> в системе <color=#fbff00>UNRIR</color>. Это пограничная система империи Циракса, поэтому ожидайте некоторого присутствия Циракса. Будь осторожна. @w3 Однако есть одна вещь, которую следует отметить. Загадочный отправитель изменил одно слово в файле: <color=#ffffff> Руководящие указания</color>. Вы можете захотеть <color=#ffffff>, чтобы он был с вами </color> Что бы это ни значило. Удачи вам, командир. Возвращай их - что бы это ни стоило.",,,,,,,,,,,,,,,,
dialogue_eCGUc,Я верну их живыми!,,,,,,,,,,,,,,,,
dialogue_uKSje,Посол Хызани,,,,,,,,,,,,,,,,
dialogue_eksmq,"Добро пожаловать, командир! Я польщен вашим присутствием. Я следил за твоим прогрессом довольно долгое время.",,,,,,,,,,,,,,,,
dialogue_qCSCG,"Обычно вы, ребята, стреляете в меня без всяких добрых слов.",,,,,,,,,,,,,,,,
dialogue_K4OmC,"Вот почему мы встречаемся здесь на полностью автоматизированном судне - и нигде больше. Нам есть о чем поговорить. И не волнуйтесь, никто не знает, что я здесь. И это хорошо не только для вас, но и для меня. Иначе я бы никогда не пригласил тебя сюда.",,,,,,,,,,,,,,,,
dialogue_mC4Oq,"Вижу... нет, я не понимаю ни слова. <i>(Дополнительная информация)</i>",,,,,,,,,,,,,,,,
dialogue_4OGu4,"Итак, с чего начать...",,,,,,,,,,,,,,,,
dialogue_ik8Cm,"Может быть, с этим сообщением, которое вы отправили, пленники здесь?",,,,,,,,,,,,,,,,
dialogue_iWauq,"Нет, их здесь нет. Как уже определили ваши аналитики, они удерживаются в плену в <color=#ffffff> Гист-объект</color>. Мои шпионы прислали мне образец голоса, и я воспользовался возможностью связаться с GLaD. Я надеялся, что ты придешь лично — и мне повезло. Я хотел бы помочь вам вернуть ваших товарищей, но это немного сложно для меня, так как это ничто, с чем я не могу позволить себе быть связанным официально. Вещи в Империи немного сложны на данный момент.",,,,,,,,,,,,,,,,
dialogue_aaGUa,Так в чем дело?,,,,,,,,,,,,,,,,
dialogue_UWOIq,"Прямо на месте. Как всегда. Вот почему я надеялся, что ты придешь - и потому что был шанс, что ты не взорвешь этот корабль на куски после того, как заметишь его знаки отличия. @w4 Пока мы говорим, мои агенты готовят больше информации о тюрьме Гист. В то же время, я хотел бы попросить вас помочь мне с несколькими вещами взамен.",,,,,,,,,,,,,,,,
dialogue_Soe8G,Зачем мне это делать?,,,,,,,,,,,,,,,,
dialogue_SuaaW,"Потому что вы не только спасете своих друзей, но и узнаете много нового о прошлом Циракса, Талона и Наследия. Информация, которую ваши друзья из GLaD и флота UCH не получили бы через миллион лет. Или тебя это не интересует?",,,,,,,,,,,,,,,,
dialogue_acqCm,"Отлично, так что мы договорились. Во-первых, я должен сказать, что все, что вы сделаете для меня в этом отношении, вероятно, не повысит вашу репутацию с Империей Цираксов или их домами. Особенно не с Ксену и Гистом. Я объясню вам это позже, если вы хотите узнать больше.",,,,,,,,,,,,,,,,
dialogue_GGuWO,"Вы не можете быть связаны с тем, что произойдет, верно?",,,,,,,,,,,,,,,,
dialogue_kCuuc,"Правильно. @w4 Первое, что я хотел бы, чтобы вы приземлились на планету <color=#fbff00>Raeelzesc</color> и принесли мне некоторые из <color=#00ffff>Technical Artifacts</color>, найденные внизу в <color=#ffff00>excavation site</color>. Вокруг могут быть силы Ксену. Удалите их, если вам нужно. Не стесняйтесь взять с моего корабля то, что вам нужно для этой миссии.",,,,,,,,,,,,,,,,
dialogue_4WCK8,Сейчас вернусь.,,,,,,,,,,,,,,,,
dialogue_mGSB4,Посол Хызани,,,,,,,,,,,,,,,,
dialogue_0Ku80,"О, ты уже вернулся. Какие-нибудь проблемы?",,,,,,,,,,,,,,,,
dialogue_eCWu0,Не совсем. Так что я тебе принесла?,,,,,,,,,,,,,,,,
dialogue_mSSqG,"Ну, это действительно интересно. Что вы знаете о TESCH и VOID?",,,,,,,,,,,,,,,,
dialogue_8aC4m,Только имена - и некоторые слухи.,,,,,,,,,,,,,,,,
dialogue_mSaa4,"TESCH — это цивилизация ИИ. Они обитают на довольно большой территории ближе к центру галактики. VOID можно найти в том же регионе, хотя они, похоже, не активны. TESCH, с другой стороны, является процветающей цивилизацией, но они избегают контакта с биологическими существами и никто не пытался связаться с ними в течение нескольких сотен лет.",,,,,,,,,,,,,,,,
dialogue_OKCGi,"Кроме ваших людей, я полагаю? <i> (Дополнительная информация)</i>",,,,,,,,,,,,,,,,
dialogue_0mae4,"Нет, даже империя Циракса не имела с ними реального контакта. Два или три столетия назад был конвой, направлявшийся на другую сторону галактики. Командир исчерпал ресурсы и зачистил поле от мусора, или, по крайней мере, так говорится в отчетах. Гораздо более вероятно, что они непреднамеренно уничтожили коллектив TESCH. В результате конвой был почти полностью уничтожен, а их останки отправлены в гигантской капсуле в сердце империи Циракс. @p9 Дом Ксену и Гист настаивали на мести. Ее величество императрица не была склонна одобрять, поэтому ксену и гистские служители взяли на себя обязательство послать свои домашние флотилии. Никто из них так и не вернулся. После того, как министры были отстранены от своих должностей, ее величество и лоялисты вынудили законопроект не провоцировать дальнейшие военные действия со стороны или с помощью TESCH.",,,,,,,,,,,,,,,,
dialogue_m9l84,Звучит как мудрый выбор,,,,,,,,,,,,,,,,
dialogue_WcM0W,"Так и было. Но Ксену и Гист не забыли об этом поражении. С тех пор они используют все возможности, чтобы увеличить свое положение в Империи. Конфликт с Криэлем также является результатом их «амбиций». n\n Но я отвлекаюсь. Назад в TESCH. @p9 Говорят, что TESCH или их предки когда-то правили всей галактикой. То, что я считаю правильным, как остатки древней цивилизации, которая исчезла тысячи лет назад, все еще можно найти повсюду. Их часто называют прародителями. Несмотря на то, что несколько лет назад я провел исследование о Законе, я также нашел много доказательств того, что прародитель, похоже, имеет некоторое сходство с Законом. По крайней мере, до некоторой степени, хотя они, возможно, никогда не встречались. Но у меня нет никаких доказательств и это не очень популярная тема в Императорской академии по понятным причинам.",,,,,,,,,,,,,,,,
dialogue_SOi8K,Но как насчет сущности слова?,,,,,,,,,,,,,,,,
dialogue_OiWiu,"Честно говоря - понятия не имею. В какой-то степени это связано с TESCH. Как я уже сказал, VOID, как сообщается, находятся на территории TESCH, но они кажутся просто монолитными, черными скалами. Вот почему я хотел, чтобы ты принес мне эти артефакты. n\n Мы проанализируем их, и если я получу новые улики, для меня будет честью решить эту загадку с вашей помощью.",,,,,,,,,,,,,,,,
dialogue_44CKe,"Если говорить о помощи, то как насчет моих друзей?",,,,,,,,,,,,,,,,
dialogue_4hlOq,"Сейчас я жду подтверждения их местонахождения. Это не займет много времени. n\n До тех пор, если вам интересно узнать больше об истории Zirax, Ассамблее Talon-Zirax и войне молчания, у меня, вероятно, есть кое-что для вас.",,,,,,,,,,,,,,,,
dialogue_KK2um,Война молчания?,,,,,,,,,,,,,,,,
dialogue_00qOw,"Я вижу, что эти термины вам уже знакомы. Отлично. Предлагаю посетить старый архив Абиссаля и поговорить с его хранителем.",,,,,,,,,,,,,,,,
dialogue_OgCWK,"Я чувствую, что это не так просто, как ходить в музей, верно?",,,,,,,,,,,,,,,,
dialogue_OoaOO,"Боюсь, что нет. Этот конкретный архив был найден всего год назад и сейчас находится под контролем Ксену. Они не успели войти в него, но я предполагаю, что с нарастающими в настоящее время вещами они просто разорвут его на куски. n\n Этого я хочу избежать любой ценой.",,,,,,,,,,,,,,,,
dialogue_uKeuS,Вот где я вступаю в игру?,,,,,,,,,,,,,,,,
dialogue_Otm08,"Скрытый в астероиде, вращающемся вокруг планеты <color=#fbff00>Lilym</color> в этой солнечной системе является <color=#ffffff>древним. Абиссальный архив</color>. Астероид когда-то был частью планеты, которая была разрушена на поздних стадиях войны молчания. @w2 Для меня и для всех нас важно, чтобы вы нашли способ вернуть знания, хранящиеся там, прежде чем Ксену сможет их уничтожить. <color=#ffffff> Хранитель архивов поможет вам сделать это, если вы покажете ему <color=#ffffff> Руководящий персонал </color> и эта цифровая подпись <color=#ffffff> Печать из дома Абиссал, которую я только что отправил в ваш костюм ИИ.",,,,,,,,,,,,,,,,
dialogue_eOK8O,Звучит выполнимо.,,,,,,,,,,,,,,,,
dialogue_K4mu8,Хранитель императорских архивов Абиссального дома,,,,,,,,,,,,,,,,
dialogue_SO4Ci,Добро пожаловать в Императорский архив славного дома Абиссаля. Как я могу служить вам?,,,,,,,,,,,,,,,,
dialogue_aiu4m,Вы должны быть хранителем этих архивов? <i>(Дополнительная информация)</i>,,,,,,,,,,,,,,,,
dialogue_C4WWq,"Боюсь, в этих архивах нет никакой информации, ваше превосходительство. n\n Другие архивы могут содержать информацию о них, но в настоящее время я страдаю от давнего отключения от имперской архивной сети.",,,,,,,,,,,,,,,,
dialogue_04aKe,"Конечно, ваше превосходительство! @w4 Термин LEGACY используется для описания сущности, способной заражать биологических существ и превращать их в зараженную, но разумную версию. Зараженные не страдают от голода, жары или холода, могут функционировать в вакууме пространства или в чрезвычайно излучаемых местах. Первый контакт с Infected был зафиксирован как раз перед началом войны молчания, которая началась 1300 лет назад.",,,,,,,,,,,,,,,,
dialogue_0GueC,Что на самом деле является законодательством?,,,,,,,,,,,,,,,,
dialogue_4qmOi,"Научные доклады, сделанные во время войны молчания, указывают на то, что Закон является полуматериальной сущностью, связанной с некоторыми структурами в реальном мире. Обычно эти структуры удерживали определенное количество <color=#ffffff> Пентаксид </color>элемент до того, как они были преобразованы в радиоактивный чужеродный металл (данные отсутствуют). Сам закон не является суммой всех трансформированных биологических существ, находящихся под его контролем, не как пчелиный улей, а суммой энергии, которую он украл у них. @p9 Точный метод этого процесса кражи не был найден, но исследования показывают, что заражающая частица каким-то образом передает энергетический дух любой высшей формы жизни в местный пул сущности. Местные бассейны объединяются в «Hive Nuclei». Когда ядро достаточно сильное, создается локальная сущность, называемая «умом улья». Затем этот улей пытается связаться с другими ульями в соседних мирах Nexus. Он также отправляет корабли, которые засеяли «частицы наследия» в новых мирах. Было обнаружено, что частица Наследия может заражать только высших существ, но не животных или низших форм жизни. Эта частица действительно заражает низшие формы жизни, но умирает, не получая контроля и не будучи в состоянии преобразовать их. Однако контроль за инфицированными высшими формами жизни является побочным эффектом. Они используются как пушечное мясо для законодательства. Ульи не ослабляются, убивая зараженных. Это только замедляет распространение Частицы Наследия. Это знание было использовано Гистом и Ксену для оружия Бесконечных Форм Жизни (ILF) (созданного Серду), — после уничтожения нескольких планет обычным оружием не получилось. @p9 Фронт был развернут во многих мирах, создавая множество неразумных, низших форм жизни. Теория заключалась в том, что LEGACY можно «высушить» или, по крайней мере, отвлечь, тратя все больше и больше усилий, чтобы компенсировать потерю своих частиц наследия, в то время как обычное оружие может быть использовано для уничтожения их ульев. Эта стратегия, похоже, была успешной, поскольку «Наследие» было отброшено на край галактики. Война молчания официально закончилась 900 лет назад.",,,,,,,,,,,,,,,,
